primary_key_composed,player_id,player_name,position,age,team_abbreviation,GP,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,season_id
1289_2021_DEN,1289,Will Barton,SF,30,DEN,25,21,29.8,4.4,10.0,0.436,1.6,4.0,0.404,2.8,6.0,0.457,0.516,1.3,1.8,0.75,0.5,3.2,3.7,3.2,0.8,0.4,1.5,1.8,11.6,2021
1544_2021_SAS,1544,Keita Bates-Diop,SF,25,SAS,8,0,3.4,0.0,1.1,0.0,0.0,0.5,0.0,0.0,0.6,0.0,0.0,0.6,0.8,0.833,0.1,0.3,0.4,0.3,0.1,0.0,0.0,0.0,0.6,2021
1266_2021_LAC,1266,Nicolas Batum,SF,32,LAC,27,27,29.9,3.3,6.8,0.492,2.1,4.6,0.456,1.2,2.1,0.569,0.648,1.0,1.1,0.867,0.9,4.0,4.9,2.3,1.4,0.4,0.7,1.7,9.7,2021
35_2021_TOR,35,Aron Baynes,C,34,TOR,25,24,18.8,2.4,5.8,0.411,0.5,2.2,0.222,1.9,3.7,0.522,0.452,0.3,0.4,0.778,1.5,3.9,5.4,1.0,0.3,0.3,0.8,2.5,5.6,2021
532_2021_GSW,532,Kent Bazemore,SF,31,GSW,27,0,16.6,2.5,4.9,0.515,1.0,2.3,0.459,1.5,2.6,0.563,0.621,0.9,1.1,0.8,0.5,2.6,3.1,1.6,0.8,0.6,1.0,2.2,7.0,2021
1420_2021_OKC,1420,Darius Bazley,PF,20,OKC,28,28,31.1,4.5,11.5,0.393,1.5,5.3,0.286,3.0,6.3,0.483,0.458,1.6,2.1,0.767,0.5,6.9,7.4,1.8,0.5,0.7,1.8,1.0,12.2,2021
1210_2021_WAS,1210,Bradley Beal,SG,27,WAS,24,24,35.3,11.4,24.0,0.473,2.5,7.4,0.337,8.9,16.6,0.534,0.525,7.5,8.4,0.896,1.4,3.8,5.2,4.7,1.3,0.5,3.1,2.5,32.8,2021
1287_2021_MIN,1287,Malik Beasley,SG,24,MIN,29,28,32.8,7.7,17.0,0.455,3.4,8.7,0.398,4.3,8.3,0.515,0.557,2.0,2.4,0.843,0.9,4.0,4.9,2.5,0.9,0.2,1.7,1.7,20.9,2021
536_2021_WAS,536,Jordan Bell,C,26,WAS,3,1,16.7,1.7,5.0,0.333,0.0,0.7,0.0,1.7,4.3,0.385,0.333,0.0,0.0,0.0,1.7,3.7,5.3,1.7,0.3,1.0,1.0,1.3,3.3,2021
538_2021_TOR,538,DeAndre' Bembry,SF,26,TOR,19,0,13.7,1.7,2.8,0.611,0.4,0.7,0.5,1.4,2.1,0.65,0.676,0.3,0.6,0.545,0.4,1.2,1.6,1.6,0.6,0.3,0.6,1.3,4.2,2021
42_2021_WAS,42,Dāvis Bertāns,PF,28,WAS,23,3,25.8,3.3,8.8,0.381,3.0,7.8,0.378,0.4,1.0,0.409,0.55,1.9,2.3,0.827,0.4,2.7,3.1,1.0,0.7,0.3,0.6,2.5,11.5,2021
1296_2021_LAC,1296,Patrick Beverley,PG,32,LAC,20,20,24.2,2.7,6.2,0.435,1.8,4.0,0.443,1.0,2.3,0.422,0.577,1.1,1.5,0.759,1.0,3.2,4.2,2.2,1.0,0.8,0.8,3.4,8.3,2021
1457_2021_DET,1457,Saddiq Bey,SF,21,DET,26,9,20.3,2.9,7.0,0.418,1.9,4.7,0.413,1.0,2.3,0.426,0.555,1.5,1.8,0.826,0.4,3.2,3.7,1.0,0.5,0.0,0.7,1.3,9.2,2021
45_2021_DAL,45,Tyler Bey,SF,22,DAL,4,0,3.3,0.5,1.3,0.4,0.0,0.0,0.0,0.5,1.3,0.4,0.4,0.5,1.0,0.5,0.5,0.3,0.8,0.0,0.0,0.3,0.0,0.5,1.5,2021
1370_2021_ORL,1370,Khem Birch,C,28,ORL,29,0,21.8,2.5,4.8,0.514,0.1,0.4,0.25,2.4,4.4,0.539,0.525,1.6,2.1,0.742,2.8,3.2,6.0,1.2,0.7,0.7,0.7,1.7,6.7,2021
1393_2021_IND,1393,Goga Bitadze,C,21,IND,13,0,9.5,1.7,2.9,0.579,0.2,0.9,0.167,1.5,2.0,0.769,0.605,0.7,0.9,0.75,0.7,1.5,2.2,0.2,0.2,1.1,0.3,1.8,4.2,2021
1469_2021_CHO,1469,Bismack Biyombo,C,28,CHO,26,16,22.5,2.7,4.6,0.58,0.0,0.0,0.0,2.7,4.5,0.585,0.58,0.8,1.8,0.447,2.2,3.6,5.8,1.3,0.2,1.2,0.9,2.3,6.1,2021
546_2021_SAC,546,Nemanja Bjelica,PF,32,SAC,13,0,16.2,2.3,5.2,0.448,0.5,2.0,0.269,1.8,3.2,0.561,0.5,1.8,2.2,0.821,0.9,2.8,3.8,2.2,0.0,0.2,1.2,1.8,6.9,2021
547_2021_NOP,547,Eric Bledsoe,SG,31,NOP,27,26,28.9,4.6,10.5,0.437,2.2,5.4,0.401,2.4,5.1,0.474,0.54,1.3,2.0,0.648,0.5,3.1,3.6,3.7,0.7,0.3,1.7,1.5,12.7,2021
548_2021_POR,548,Keljin Blevins,SF,25,POR,8,0,4.8,0.1,1.1,0.111,0.0,0.4,0.0,0.1,0.8,0.167,0.111,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.3,0.0,0.4,0.5,0.3,2021
52_2021_ATL,52,Bogdan Bogdanović,SG,28,ATL,9,2,23.7,3.3,8.7,0.385,2.3,6.4,0.362,1.0,2.2,0.45,0.519,0.9,1.0,0.889,0.2,3.6,3.8,2.1,0.4,0.1,1.2,2.0,9.9,2021
53_2021_UTA,53,Bojan Bogdanović,SF,31,UTA,29,29,30.7,5.0,12.1,0.416,2.6,6.6,0.387,2.5,5.5,0.45,0.521,2.6,3.0,0.864,0.5,3.5,4.0,2.1,0.4,0.0,1.5,1.5,15.2,2021
1504_2021_DEN,1504,Bol Bol,PF,21,DEN,12,2,5.4,0.6,1.3,0.438,0.2,0.5,0.333,0.4,0.8,0.5,0.5,0.1,0.2,0.5,0.0,0.8,0.8,0.2,0.1,0.3,0.4,0.6,1.4,2021
55_2021_CLE,55,Marques Bolden,C,22,CLE,6,0,4.8,0.2,0.5,0.333,0.0,0.0,0.0,0.2,0.5,0.333,0.333,0.8,1.3,0.625,0.5,0.5,1.0,0.0,0.3,0.3,0.3,0.0,1.2,2021
56_2021_ORL,56,Jordan Bone,PG,23,ORL,14,0,14.0,1.6,3.9,0.426,0.7,2.3,0.313,0.9,1.6,0.591,0.519,0.0,0.0,0.0,0.3,1.4,1.7,1.3,0.1,0.0,0.2,0.8,4.0,2021
553_2021_WAS,553,Isaac Bonga,SF,21,WAS,17,7,13.5,0.8,2.1,0.389,0.5,1.3,0.409,0.3,0.8,0.357,0.514,0.1,0.2,0.667,0.5,1.8,2.2,0.5,0.2,0.2,0.4,1.6,2.3,2021
1230_2021_PHO,1230,Devin Booker,SG,24,PHO,23,23,35.2,9.0,18.2,0.492,2.0,5.8,0.353,6.9,12.4,0.556,0.548,4.4,5.3,0.829,0.2,3.5,3.7,4.4,0.9,0.3,3.5,3.3,24.4,2021
1306_2021_TOR,1306,Chris Boucher,C,28,TOR,28,0,23.4,4.8,9.0,0.528,1.6,3.6,0.441,3.1,5.4,0.587,0.617,2.5,3.3,0.75,2.0,4.8,6.8,1.0,0.5,2.1,0.7,2.7,13.6,2021
60_2021_IND,60,Brian Bowen,SF,22,IND,1,0,5.0,1.0,2.0,0.5,0.0,0.0,0.0,1.0,2.0,0.5,0.5,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2021
558_2021_MIA,558,Avery Bradley,SG,30,MIA,10,1,21.1,3.1,6.6,0.47,1.6,3.8,0.421,1.5,2.8,0.536,0.591,0.7,0.9,0.778,0.2,1.6,1.8,1.4,0.7,0.1,0.9,2.6,8.5,2021
1517_2021_PHI,1517,Tony Bradley,C,23,PHI,10,1,11.7,1.9,3.6,0.528,0.0,0.1,0.0,1.9,3.5,0.543,0.528,0.3,0.5,0.6,2.1,2.9,5.0,0.6,0.3,0.6,0.1,1.1,4.1,2021
1660_2021_UTA,1660,Jarrell Brantley,PF,24,UTA,8,0,2.8,0.4,1.0,0.375,0.4,0.8,0.5,0.0,0.3,0.0,0.563,0.0,0.0,0.0,0.1,0.4,0.5,0.0,0.1,0.1,0.1,0.5,1.1,2021
560_2021_NYK,560,Ignas Brazdeikis,SF,22,NYK,4,0,1.8,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.5,0.5,1.0,0.3,0.3,0.5,0.3,0.0,0.0,0.3,0.0,0.5,2021
1264_2021_PHO,1264,Mikal Bridges,SF,24,PHO,27,27,33.3,5.1,10.1,0.504,2.0,4.9,0.398,3.1,5.1,0.604,0.601,2.0,2.4,0.833,1.4,4.0,5.3,2.1,0.6,1.0,0.7,1.9,14.1,2021
562_2021_CHO,562,Miles Bridges,PF,22,CHO,28,2,26.7,3.8,8.0,0.469,1.3,3.5,0.364,2.5,4.5,0.552,0.549,1.1,1.2,0.939,1.3,4.5,5.8,1.9,0.7,0.8,1.8,2.4,9.9,2021
1256_2021_IND,1256,Malcolm Brogdon,PG,28,IND,29,29,36.0,8.1,18.4,0.442,2.7,6.7,0.395,5.5,11.7,0.469,0.514,2.7,2.9,0.906,0.8,4.1,4.8,6.6,1.3,0.3,2.1,1.9,21.6,2021
1313_2021_MEM,1313,Dillon Brooks,SF,25,MEM,24,24,29.2,6.1,15.4,0.397,1.9,6.0,0.319,4.2,9.4,0.447,0.459,1.7,2.1,0.8,1.0,2.2,3.3,2.6,1.3,0.4,2.3,3.3,15.8,2021
1372_2021_BRK,1372,Bruce Brown,PG,24,BRK,26,13,19.2,2.7,4.9,0.555,0.2,0.8,0.182,2.6,4.1,0.632,0.57,0.8,1.1,0.69,1.3,3.1,4.4,1.0,0.7,0.4,0.8,1.8,6.4,2021
1246_2021_BOS,1246,Jaylen Brown,SG,24,BOS,26,26,33.4,9.9,19.5,0.506,2.4,5.9,0.409,7.5,13.6,0.548,0.568,3.7,4.8,0.768,1.2,4.3,5.5,3.6,1.2,0.6,2.8,3.0,25.9,2021
1600_2021_OKC,1600,Moses Brown,C,21,OKC,7,0,4.4,1.0,1.4,0.7,0.0,0.0,0.0,1.0,1.4,0.7,0.7,1.0,2.0,0.5,0.6,1.6,2.1,0.4,0.1,0.6,0.1,0.6,3.0,2021
1452_2021_HOU,1452,Sterling Brown,SG,25,HOU,26,1,21.4,2.8,6.2,0.45,1.5,3.8,0.408,1.2,2.4,0.516,0.575,0.4,0.4,1.0,0.8,3.1,3.9,1.8,1.0,0.3,0.7,2.0,7.5,2021
578_2021_WAS,578,Troy Brown Jr.,SF,21,WAS,13,0,15.8,1.7,4.8,0.355,0.8,2.8,0.306,0.8,2.0,0.423,0.444,0.5,0.9,0.583,0.6,2.8,3.5,1.0,0.2,0.2,0.9,1.8,4.8,2021
1249_2021_DAL,1249,Jalen Brunson,PG,24,DAL,24,6,24.1,4.3,8.3,0.515,1.1,2.8,0.382,3.2,5.5,0.583,0.58,2.0,2.3,0.889,0.2,3.0,3.2,3.6,0.4,0.0,1.2,1.5,11.7,2021
1529_2021_WAS,1529,Thomas Bryant,C,23,WAS,10,10,27.1,5.9,9.1,0.648,0.9,2.1,0.429,5.0,7.0,0.714,0.698,1.6,2.4,0.667,1.8,4.3,6.1,1.5,0.4,0.8,1.1,3.1,14.3,2021
1327_2021_NYK,1327,Reggie Bullock,SF,29,NYK,25,25,26.8,3.1,7.6,0.411,1.8,4.6,0.383,1.4,3.0,0.453,0.526,0.5,0.6,0.813,0.3,3.2,3.5,1.4,0.7,0.2,0.7,2.5,8.5,2021
583_2021_DAL,583,Trey Burke,PG,28,DAL,27,0,17.3,2.9,6.6,0.444,1.3,3.4,0.396,1.6,3.2,0.494,0.545,0.9,1.0,0.852,0.1,1.0,1.1,1.6,0.8,0.1,0.6,1.5,8.0,2021
1328_2021_NYK,1328,Alec Burks,SG,29,NYK,18,3,25.5,3.6,9.0,0.395,2.0,4.9,0.409,1.6,4.1,0.378,0.506,1.9,2.4,0.814,0.5,4.1,4.6,2.1,0.8,0.3,1.1,1.7,11.1,2021
1220_2021_MIA,1220,Jimmy Butler,SF,31,MIA,16,16,32.9,6.0,13.7,0.438,0.3,1.5,0.167,5.8,12.2,0.472,0.447,7.2,8.4,0.858,1.8,5.9,7.7,7.4,1.9,0.4,2.1,1.1,19.4,2021
80_2021_HOU,80,Bruno Caboclo,PF,25,HOU,6,0,6.0,1.3,2.8,0.471,0.0,0.8,0.0,1.3,2.0,0.667,0.471,0.2,0.3,0.5,0.5,1.8,2.3,0.2,0.0,0.3,0.7,1.0,2.8,2021
587_2021_LAL,587,Devontae Cacok,PF,24,LAL,1,0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2021
1294_2021_LAL,1294,Kentavious Caldwell-Pope,SG,27,LAL,25,25,25.1,3.0,6.7,0.446,1.6,3.7,0.424,1.4,3.0,0.474,0.563,0.9,1.1,0.852,0.3,1.9,2.2,1.3,0.8,0.3,1.0,1.6,8.5,2021
1634_2021_DEN,1634,Facundo Campazzo,PG,29,DEN,25,1,14.0,1.5,3.8,0.396,1.0,2.6,0.375,0.6,1.3,0.438,0.521,0.9,1.2,0.759,0.2,0.6,0.8,1.9,0.9,0.2,0.7,1.8,4.9,2021
84_2021_DEN,84,Vlatko Čančar,PF,23,DEN,13,0,3.5,0.2,1.1,0.214,0.1,0.6,0.125,0.2,0.5,0.333,0.25,0.1,0.2,0.5,0.2,0.7,0.9,0.1,0.3,0.2,0.4,0.2,0.6,2021
1272_2021_ATL,1272,Clint Capela,C,26,ATL,25,25,29.3,6.3,10.9,0.579,0.0,0.0,0.0,6.3,10.9,0.579,0.579,1.6,3.1,0.532,4.6,9.4,14.0,1.0,0.8,2.2,1.4,2.3,14.3,2021
594_2021_CHO,594,Vernon Carey Jr.,C,19,CHO,3,0,2.0,0.3,1.0,0.333,0.0,0.3,0.0,0.3,0.7,0.5,0.333,0.3,0.7,0.5,0.7,0.3,1.0,0.3,0.0,0.3,0.0,0.0,1.0,2021
1379_2021_PHO,1379,Jevon Carter,PG,25,PHO,23,0,11.1,1.1,3.2,0.342,0.6,2.1,0.286,0.5,1.0,0.458,0.438,0.1,0.1,1.0,0.1,1.3,1.4,1.1,0.4,0.3,0.2,1.2,2.9,2021
597_2021_CHI,597,Wendell Carter Jr.,C,21,CHI,16,16,26.6,4.8,8.6,0.551,0.3,0.9,0.267,4.5,7.7,0.585,0.565,3.3,4.5,0.722,2.2,5.6,7.8,2.2,0.7,0.7,1.9,3.0,13.0,2021
1606_2021_ORL,1606,Michael Carter-Williams,SG,29,ORL,10,5,24.6,2.9,8.2,0.354,0.2,1.7,0.118,2.7,6.5,0.415,0.366,1.7,2.3,0.739,1.8,2.9,4.7,3.0,0.5,0.4,1.6,2.7,7.7,2021
1339_2021_LAL,1339,Alex Caruso,PG,26,LAL,22,0,18.7,2.0,4.4,0.464,1.0,2.3,0.44,1.0,2.1,0.489,0.577,0.5,0.5,0.833,0.5,1.9,2.4,2.3,1.0,0.2,1.1,1.6,5.5,2021
600_2021_DAL,600,Willie Cauley-Stein,C,27,DAL,26,10,17.5,2.4,3.8,0.626,0.0,0.2,0.2,2.3,3.6,0.649,0.631,1.1,1.7,0.636,1.3,3.3,4.6,0.8,0.3,0.7,0.5,2.5,5.9,2021
604_2021_BRK,604,Chris Chiozza,PG,25,BRK,12,0,9.3,1.0,3.4,0.293,0.4,1.5,0.278,0.6,1.9,0.304,0.354,0.8,0.9,0.818,0.3,0.7,0.9,2.3,0.3,0.3,0.7,0.7,3.2,2021
605_2021_GSW,605,Marquese Chriss,PF,23,GSW,2,0,13.5,2.5,7.0,0.357,0.5,2.5,0.2,2.0,4.5,0.444,0.393,1.0,2.0,0.5,1.5,5.0,6.5,1.0,0.0,1.0,1.0,1.5,6.5,2021
607_2021_ORL,607,Gary Clark,SF,26,ORL,26,11,21.0,1.2,3.9,0.294,0.9,3.3,0.264,0.3,0.6,0.467,0.407,0.2,0.3,0.857,1.1,2.5,3.6,0.9,0.3,0.2,0.6,1.1,3.4,2021
1417_2021_MEM,1417,Brandon Clarke,PF,24,MEM,20,13,27.2,5.6,11.1,0.5,0.6,1.8,0.306,5.0,9.3,0.538,0.525,1.3,2.1,0.634,1.6,4.0,5.6,1.8,1.2,0.8,0.7,1.7,13.0,2021
1300_2021_UTA,1300,Jordan Clarkson,SG,28,UTA,29,0,26.2,6.7,14.8,0.453,3.2,8.5,0.382,3.4,6.3,0.549,0.563,1.6,1.7,0.958,0.9,3.2,4.1,2.1,1.0,0.2,1.9,1.4,18.2,2021
1446_2021_LAC,1446,Amir Coffey,SG,23,LAC,19,0,8.1,1.1,2.1,0.525,0.6,1.1,0.524,0.5,1.0,0.526,0.663,0.2,0.5,0.333,0.2,0.6,0.8,0.4,0.2,0.0,0.4,0.6,2.9,2021
1254_2021_ATL,1254,John Collins,PF,23,ATL,28,28,31.6,7.1,13.0,0.547,1.4,3.4,0.411,5.7,9.6,0.595,0.6,2.6,3.0,0.867,2.2,5.4,7.6,1.6,0.5,1.0,1.4,3.4,18.2,2021
1255_2021_UTA,1255,Mike Conley,PG,33,UTA,23,23,29.3,5.7,12.7,0.45,2.8,6.8,0.41,2.9,5.9,0.496,0.56,2.3,2.8,0.815,1.0,2.7,3.7,5.8,1.4,0.1,2.0,1.8,16.5,2021
1388_2021_MIL,1388,Pat Connaughton,SG,28,MIL,25,0,19.0,2.2,5.1,0.438,1.3,3.4,0.384,0.9,1.7,0.548,0.566,0.2,0.3,0.625,0.9,2.9,3.8,1.4,0.7,0.5,0.3,1.3,6.0,2021
101_2021_LAL,101,Quinn Cook,PG,27,LAL,15,0,3.4,0.6,1.4,0.429,0.3,0.7,0.364,0.3,0.7,0.5,0.524,0.3,0.3,0.8,0.0,0.3,0.3,0.3,0.1,0.0,0.2,0.1,1.7,2021
621_2021_HOU,621,DeMarcus Cousins,C,30,HOU,25,11,20.2,3.2,8.4,0.376,1.6,4.6,0.336,1.6,3.8,0.426,0.469,1.8,2.4,0.746,1.2,6.4,7.6,2.4,0.8,0.7,1.6,3.0,9.6,2021
1307_2021_POR,1307,Robert Covington,PF,30,POR,26,26,31.4,2.7,7.2,0.371,1.7,5.1,0.333,1.0,2.1,0.463,0.489,0.6,0.7,0.889,0.8,5.4,6.2,1.8,1.6,0.9,1.0,2.6,7.6,2021
1400_2021_MIL,1400,Torrey Craig,SF,30,MIL,15,0,11.7,1.1,2.5,0.459,0.5,1.2,0.444,0.6,1.3,0.474,0.568,0.1,0.1,0.5,0.8,1.8,2.6,0.8,0.5,0.3,0.3,1.5,2.9,2021
1325_2021_PHO,1325,Jae Crowder,PF,30,PHO,24,16,27.9,3.4,8.9,0.379,2.4,6.9,0.345,1.0,2.0,0.49,0.512,1.2,1.4,0.848,0.4,4.8,5.2,2.2,0.9,0.2,0.8,2.0,10.3,2021
1639_2021_MIN,1639,Jarrett Culver,SG,21,MIN,16,7,21.2,3.2,6.9,0.459,0.5,1.9,0.258,2.7,5.0,0.538,0.495,1.3,2.1,0.606,1.6,3.4,5.0,0.9,0.7,0.4,1.3,2.4,8.1,2021
